Timestamp,Cars,Motorcycles,Buses,Trucks,Total,UP,DOWN,Current Vehicles,Density
2026-09-10 10:10:00,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:15,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:20,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:25,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:30,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:35,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:40,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:45,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:50,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:10:55,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:11:00,0,0,0,0,0,0,0,0,LOW
2026-09-10 10:11:05,0,1,0,0,1,1,0,2,LOW
2026-09-10 10:11:10,1,1,0,0,2,1,1,0,LOW
2026-09-10 10:11:15,1,1,0,0,2,1,1,3,LOW
2026-09-10 10:11:20,1,1,0,0,2,1,1,0,LOW
2026-09-10 10:11:25,1,1,0,0,2,1,1,0,LOW
